MoS2 nanoflake - 3x3 supercell single-layer 2H-MoS2

54 atoms
11 atom types

0.0  13.7882080000  xlo xhi
0.0  13.7882080000  ylo yhi
-5.0  10.0  zlo zhi

Masses

  1  28.085
  2  26.982
  3  55.845
  4  40.078
  5  24.305
  6  22.990
  7  15.999
  8  15.999
  9  47.867
  10  95.950
  11  32.065

Atoms # charge

  1  10  0.8374373333  3.2452502987  0.0000000000
  2  10  2.9441040000  5.0696771494  0.0000000000
  3  11  2.9441040000  5.0696771494  1.5800000000
  4  11  3.4707706667  4.1574637240  -1.5800000000
  5  11  0.8374373333  3.2452502987  1.5800000000
  6  11  0.8374373333  3.2452502987  -1.5800000000
  7  10  2.4174373333  5.9818905747  0.0000000000
  8  10  4.5241040000  7.8063174253  0.0000000000
  9  11  4.5241040000  7.8063174253  1.5800000000
  10  11  5.0507706667  6.8941040000  -1.5800000000
  11  11  2.4174373333  5.9818905747  1.5800000000
  12  11  2.4174373333  5.9818905747  -1.5800000000
  13  10  3.9974373333  8.7185308506  0.0000000000
  14  10  6.1041040000  10.5429577013  0.0000000000
  15  11  6.1041040000  10.5429577013  1.5800000000
  16  11  6.6307706667  9.6307442760  -1.5800000000
  17  11  3.9974373333  8.7185308506  1.5800000000
  18  11  3.9974373333  8.7185308506  -1.5800000000
  19  10  3.9974373333  3.2452502987  0.0000000000
  20  10  6.1041040000  5.0696771494  0.0000000000
  21  11  6.1041040000  5.0696771494  1.5800000000
  22  11  6.6307706667  4.1574637240  -1.5800000000
  23  11  3.9974373333  3.2452502987  1.5800000000
  24  11  3.9974373333  3.2452502987  -1.5800000000
  25  10  5.5774373333  5.9818905747  0.0000000000
  26  10  7.6841040000  7.8063174253  0.0000000000
  27  11  7.6841040000  7.8063174253  1.5800000000
  28  11  8.2107706667  6.8941040000  -1.5800000000
  29  11  5.5774373333  5.9818905747  1.5800000000
  30  11  5.5774373333  5.9818905747  -1.5800000000
  31  10  7.1574373333  8.7185308506  0.0000000000
  32  10  9.2641040000  10.5429577013  0.0000000000
  33  11  9.2641040000  10.5429577013  1.5800000000
  34  11  9.7907706667  9.6307442760  -1.5800000000
  35  11  7.1574373333  8.7185308506  1.5800000000
  36  11  7.1574373333  8.7185308506  -1.5800000000
  37  10  7.1574373333  3.2452502987  0.0000000000
  38  10  9.2641040000  5.0696771494  0.0000000000
  39  11  9.2641040000  5.0696771494  1.5800000000
  40  11  9.7907706667  4.1574637240  -1.5800000000
  41  11  7.1574373333  3.2452502987  1.5800000000
  42  11  7.1574373333  3.2452502987  -1.5800000000
  43  10  8.7374373333  5.9818905747  0.0000000000
  44  10  10.8441040000  7.8063174253  0.0000000000
  45  11  10.8441040000  7.8063174253  1.5800000000
  46  11  11.3707706667  6.8941040000  -1.5800000000
  47  11  8.7374373333  5.9818905747  1.5800000000
  48  11  8.7374373333  5.9818905747  -1.5800000000
  49  10  10.3174373333  8.7185308506  0.0000000000
  50  10  12.4241040000  10.5429577013  0.0000000000
  51  11  12.4241040000  10.5429577013  1.5800000000
  52  11  12.9507706667  9.6307442760  -1.5800000000
  53  11  10.3174373333  8.7185308506  1.5800000000
  54  11  10.3174373333  8.7185308506  -1.5800000000
