MoS2 + Basalt Fiber combined system
MoS2 nanoflake on BF surface, 3.0 A initial gap

255 atoms
11 atom types

0.0000000000  13.7882080000  xlo xhi
0.0000000000  13.7882080000  ylo yhi
-2.0000000000  33.4777487147  zlo zhi

Masses

  1  28.085
  2  26.982
  3  55.845
  4  40.078
  5  24.305
  6  22.990
  7  15.999
  8  15.999
  9  47.867
  10  95.950
  11  32.065

Atoms # charge

  1  8  5.1642370000  13.1086470000  10.0928850000
  2  8  8.1848250000  2.2383620000  2.6042700000
  3  8  0.8974240000  11.9921560000  7.9173960000
  4  8  9.4364100000  0.3436920000  13.4235570000
  5  8  11.3043620000  2.5207660000  2.8297000000
  6  8  2.9259270000  4.9479670000  7.0492480000
  7  8  5.8326360000  3.6138770000  8.7352320000
  8  8  2.2822670000  3.9543350000  4.7522640000
  9  8  6.0961770000  10.7183710000  2.5072810000
  10  8  6.8829890000  8.0221040000  0.5643210000
  11  8  8.8707640000  3.0791330000  0.8247020000
  12  8  12.5959700000  13.3078670000  11.1120910000
  13  8  3.8296650000  1.4875660000  9.6650500000
  14  8  6.0512820000  2.0107420000  6.3764230000
  15  8  0.7619220000  12.6569520000  3.6890140000
  16  8  9.1240310000  4.2885790000  7.1520750000
  17  8  7.1604980000  2.6711680000  13.0039750000
  18  8  10.4584470000  12.5877050000  12.6777440000
  19  8  8.0832060000  11.6974430000  1.1868840000
  20  8  2.0893510000  0.4752020000  4.6937800000
  21  8  5.7274370000  3.6606040000  10.9366690000
  22  8  4.6858140000  4.0048860000  7.1445990000
  23  8  2.0108990000  11.6890530000  1.0416630000
  24  8  13.5964420000  10.6582510000  2.7641520000
  25  8  0.1774030000  11.2382950000  9.6213240000
  26  8  9.7319560000  10.5894150000  0.9595680000
  27  8  5.1902280000  1.7509850000  11.1022670000
  28  8  8.6069910000  5.0501710000  0.9818450000
  29  8  4.2666030000  4.3317770000  9.7496200000
  30  8  9.0203150000  11.9543740000  6.4317930000
  31  8  1.3996180000  9.8026000000  10.3000600000
  32  8  7.6464560000  10.9309080000  7.4636130000
  33  8  6.9871920000  6.0151920000  0.3174910000
  34  8  1.7393800000  13.5023710000  8.9184340000
  35  8  4.6391720000  7.0889760000  12.1256830000
  36  8  3.2656920000  5.8648160000  10.5491740000
  37  1  3.6050630000  1.4482210000  3.8244160000
  38  1  2.6224030000  12.9851880000  11.0903520000
  39  1  8.6700000000  11.8790140000  11.0779120000
  40  1  2.8915930000  12.0564890000  7.7809070000
  41  1  11.5414860000  12.6592680000  3.7214250000
  42  1  1.3139160000  2.6864520000  5.9538390000
